generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
167,200.00,193.07,200,198.07,0,0.00,2,0,0,198
168,200.00,179.18,200,194.18,0,0.00,6,0,0,194
169,200.00,179.18,200,194.18,0,0.00,6,0,0,194
170,200.00,189.60,200,197.10,0,0.00,3,0,0,197
171,200.00,193.07,200,198.07,0,0.00,2,0,0,198
172,200.00,182.67,200,195.17,0,0.00,5,0,0,195
173,200.00,179.17,200,194.17,0,0.00,6,0,0,194
174,200.00,161.81,200,189.31,0,0.00,11,0,0,189
175,200.00,165.28,200,190.28,0,0.00,10,0,0,190
176,200.00,182.62,200,195.12,0,0.00,5,0,0,195
177,200.00,189.57,200,197.07,0,0.00,3,0,0,197
178,200.00,168.75,200,191.25,0,0.00,9,0,0,191
179,200.00,186.12,200,196.12,0,0.00,4,0,0,196
180,200.00,172.29,200,192.29,0,0.00,8,0,0,192
181,200.00,189.57,200,197.07,0,0.00,3,0,0,197
182,200.00,193.05,200,198.05,0,0.00,2,0,0,198
183,200.00,168.75,200,191.25,0,0.00,9,0,0,191
184,200.00,186.10,200,196.10,0,0.00,4,0,0,196
185,200.00,175.68,200,193.18,0,0.00,7,0,0,193
186,200.00,182.63,200,195.13,0,0.00,5,0,0,195
187,200.00,193.05,200,198.05,0,0.00,2,0,0,198
188,200.00,189.57,200,197.07,0,0.00,3,0,0,197
189,200.00,189.57,200,197.07,0,0.00,3,0,0,197
190,200.00,161.78,200,189.28,0,0.00,11,0,0,189
191,200.00,189.57,200,197.07,0,0.00,3,0,0,197
192,200.00,179.15,200,194.15,0,0.00,6,0,0,194
193,200.00,189.58,200,197.08,0,0.00,3,0,0,197
194,200.00,193.07,200,198.07,0,0.00,2,0,0,198
195,200.00,186.13,200,196.13,0,0.00,4,0,0,196
196,200.00,189.57,200,197.07,0,0.00,3,0,0,197
197,200.00,175.71,200,193.21,0,0.00,7,0,0,193
198,200.00,179.15,200,194.15,0,0.00,6,0,0,194
199,200.00,182.65,200,195.15,0,0.00,5,0,0,195
200,200.00,189.58,200,197.08,0,0.00,3,0,0,197
201,200.00,175.72,200,193.22,0,0.00,7,0,0,193
202,200.00,179.17,200,194.17,0,0.00,6,0,0,194
203,200.00,161.80,200,189.30,0,0.00,11,0,0,189
204,200.00,158.35,200,188.35,0,0.00,12,0,0,188
205,200.00,172.25,200,192.25,0,0.00,8,0,0,192
206,200.00,182.63,200,195.13,0,0.00,5,0,0,195
207,200.00,182.62,200,195.12,0,0.00,5,0,0,195
208,200.00,182.65,200,195.15,0,0.00,5,0,0,195
209,200.00,193.07,200,198.07,0,0.00,2,0,0,198
210,200.00,186.10,200,196.10,0,0.00,4,0,0,196
211,200.00,179.15,200,194.15,0,0.00,6,0,0,194
212,200.00,165.25,200,190.25,0,0.00,10,0,0,190
213,200.00,172.22,200,192.22,0,0.00,8,0,0,192
214,200.00,179.15,200,194.15,0,0.00,6,0,0,194
215,200.00,186.12,200,196.12,0,0.00,4,0,0,196
216,200.00,172.20,200,192.20,0,0.00,8,0,0,192
217,200.00,186.10,200,196.10,0,0.00,4,0,0,196
218,200.00,175.72,200,193.22,0,0.00,7,0,0,193
219,200.00,200.00,200,200.00,0,0.00,0,0,0,200
220,200.00,200.00,200,200.00,0,0.00,0,0,0,200
221,200.00,196.55,200,199.05,0,0.00,1,0,0,199
222,200.00,189.57,200,197.07,0,0.00,3,0,0,197
223,200.00,186.12,200,196.12,0,0.00,4,0,0,196
224,200.00,182.65,200,195.15,0,0.00,5,0,0,195
225,200.00,200.00,200,200.00,0,0.00,0,0,0,200
226,200.00,175.71,200,193.21,0,0.00,7,0,0,193
227,200.00,189.58,200,197.08,0,0.00,3,0,0,197
228,200.00,193.07,200,198.07,0,0.00,2,0,0,198
229,200.00,179.15,200,194.15,0,0.00,6,0,0,194
230,200.00,179.17,200,194.17,0,0.00,6,0,0,194
231,200.00,182.62,200,195.12,0,0.00,5,0,0,195
232,200.00,189.57,200,197.07,0,0.00,3,0,0,197
233,200.00,186.10,200,196.10,0,0.00,4,0,0,196
234,200.00,179.15,200,194.15,0,0.00,6,0,0,194
235,200.00,193.05,200,198.05,0,0.00,2,0,0,198
236,200.00,186.10,200,196.10,0,0.00,4,0,0,196
237,200.00,179.15,200,194.15,0,0.00,6,0,0,194
238,200.00,196.53,200,199.03,0,0.00,1,0,0,199
239,200.00,151.41,200,186.41,0,0.00,14,0,0,186
240,200.00,172.20,200,192.20,0,0.00,8,0,0,192
241,200.00,179.18,200,194.18,0,0.00,6,0,0,194
242,200.00,189.57,200,197.07,0,0.00,3,0,0,197
243,200.00,182.66,200,195.16,0,0.00,5,0,0,195
244,200.00,168.75,200,191.25,0,0.00,9,0,0,191
245,200.00,182.68,200,195.18,0,0.00,5,0,0,195
246,200.00,186.10,200,196.10,0,0.00,4,0,0,196
247,200.00,186.10,200,196.10,0,0.00,4,0,0,196
248,200.00,161.78,200,189.28,0,0.00,11,0,0,189
249,200.00,182.62,200,195.12,0,0.00,5,0,0,195
250,200.00,165.31,200,190.31,0,0.00,10,0,0,190
251,200.00,158.32,200,188.32,0,0.00,12,0,0,188
252,200.00,165.26,200,190.26,0,0.00,10,0,0,190
253,200.00,168.75,200,191.25,0,0.00,9,0,0,191
254,200.00,189.57,200,197.07,0,0.00,3,0,0,197
255,200.00,172.22,200,192.22,0,0.00,8,0,0,192
256,200.00,186.10,200,196.10,0,0.00,4,0,0,196
257,200.00,193.05,200,198.05,0,0.00,2,0,0,198
258,200.00,200.00,200,200.00,0,0.00,0,0,0,200
259,200.00,193.05,200,198.05,0,0.00,2,0,0,198
260,200.00,186.10,200,196.10,0,0.00,4,0,0,196
261,200.00,182.63,200,195.13,0,0.00,5,0,0,195
