generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
606,86080.00,57510.70,150,116.27,17,11.36,6,43,56,95
607,86030.00,41294.91,150,86.00,17,8.17,17,66,67,50
608,86090.00,44807.76,150,100.74,17,8.85,23,81,70,26
609,76050.00,40046.06,150,98.36,15,7.90,16,38,62,84
610,90800.00,49802.02,148,107.69,18,9.84,9,73,51,67
611,91050.00,46957.91,150,101.46,18,9.28,19,28,66,87
612,70980.00,43163.49,150,104.73,14,8.52,22,27,66,85
613,86050.00,44854.45,150,93.33,17,8.87,19,102,62,17
614,91130.00,50686.09,150,107.80,18,10.00,8,37,82,73
615,91000.00,50395.72,150,105.17,18,9.96,8,70,73,49
616,71050.00,36294.58,150,93.31,14,7.17,16,107,69,8
617,76090.00,40255.36,150,105.10,15,7.93,17,38,72,73
618,76210.00,44926.37,150,107.69,15,8.84,12,36,68,84
619,86010.00,50738.51,150,113.38,17,10.01,9,25,64,102
620,76140.00,35416.90,150,84.45,15,7.00,16,112,61,11
621,81050.00,45711.22,150,110.47,16,9.02,12,35,68,85
622,76060.00,36060.90,150,95.20,15,7.11,32,50,67,51
623,91000.00,47059.28,150,103.64,18,9.29,18,37,69,76
624,81090.00,35593.59,150,79.11,16,7.04,26,64,64,46
625,81140.00,26251.39,150,61.88,16,5.20,16,104,68,12
626,80940.00,39779.00,150,93.11,16,7.86,12,67,70,51
627,81090.00,45321.60,150,104.77,16,8.94,12,30,69,89
628,91110.00,34365.60,150,77.49,18,6.79,26,79,77,18
629,76150.00,39011.54,150,100.69,15,7.68,10,60,79,51
630,86160.00,39159.20,150,96.87,17,7.71,17,29,90,64
631,70960.00,28540.15,150,67.83,14,5.65,11,94,83,12
632,76040.00,38223.33,150,92.48,15,7.54,12,82,86,20
633,81110.00,36458.67,150,96.85,16,7.18,22,24,82,72
634,85910.00,27565.34,149,62.67,17,5.46,25,94,63,18
635,91090.00,42025.94,150,99.14,18,8.29,10,48,79,63
636,95750.00,29948.84,131,70.50,19,5.92,13,89,94,4
637,86020.00,38482.33,150,91.48,17,7.60,15,64,76,45
638,101080.00,40129.10,150,87.24,20,7.93,10,62,88,40
639,76150.00,45323.90,150,107.56,15,8.94,12,50,69,69
640,81160.00,33377.69,150,90.67,16,6.57,20,33,87,60
641,86080.00,34835.04,150,83.65,17,6.88,30,34,85,51
642,81110.00,48719.26,150,109.47,16,9.61,10,52,53,85
643,66080.00,39234.68,150,108.80,13,7.71,14,36,63,87
644,81070.00,49085.72,150,108.00,16,9.69,8,55,62,75
645,76070.00,40459.76,150,100.56,15,7.97,24,23,79,74
646,81140.00,42648.32,150,102.71,16,8.40,9,25,83,83
647,91160.00,55787.95,150,109.31,18,11.02,5,46,73,76
648,86050.00,38745.23,150,72.03,17,7.68,6,96,72,26
649,86070.00,50913.32,150,109.48,17,10.04,5,45,67,83
650,81030.00,37107.60,150,80.72,16,7.34,6,110,78,6
651,81070.00,47078.24,150,108.94,16,9.29,10,36,68,86
652,86090.00,34357.56,150,78.86,17,6.79,7,81,86,26
653,66220.00,38448.09,150,106.52,13,7.54,9,28,72,91
654,81050.00,49166.18,150,112.09,16,9.70,11,56,52,81
655,86070.00,39540.53,150,87.53,17,7.81,9,62,67,62
656,96220.00,50235.54,150,105.31,19,9.90,9,17,81,93
657,91040.00,50895.73,150,104.53,18,10.05,12,39,72,77
658,81130.00,41930.30,150,105.06,16,8.26,11,14,72,103
659,81130.00,41978.64,150,89.91,16,8.30,17,93,53,37
660,86150.00,43644.75,150,101.39,17,8.60,30,19,68,83
661,91090.00,39961.25,150,83.47,18,7.92,3,100,80,17
662,86100.00,23154.21,150,61.73,17,4.58,16,78,94,12
663,76160.00,32386.86,150,91.25,15,6.37,21,16,95,68
664,90970.00,38497.60,150,79.42,18,7.62,33,71,72,24
665,91080.00,44755.60,150,96.49,18,8.84,17,50,71,62
666,86100.00,37902.35,150,86.45,17,7.49,13,71,75,41
667,86050.00,42008.88,150,95.44,17,8.29,14,48,91,47
668,66190.00,39363.19,150,107.47,13,7.72,9,9,78,104
669,80960.00,32923.25,150,62.16,16,6.54,5,133,58,4
670,81000.00,32102.68,150,88.02,16,6.33,20,37,88,55
671,81160.00,38883.93,150,85.83,16,7.68,12,65,88,35
672,76100.00,34844.48,150,88.86,15,6.87,28,64,76,32
673,91140.00,33802.78,150,90.59,18,6.66,10,56,100,34
674,90980.00,28373.28,150,63.44,18,5.62,24,59,107,10
675,86140.00,32937.30,150,82.40,17,6.50,21,60,95,24
676,91040.00,31256.86,150,71.41,18,6.18,17,78,88,17
677,86060.00,36819.50,150,85.75,17,7.28,24,65,83,28
678,96050.00,39406.93,150,76.49,19,7.81,10,106,73,11
679,86160.00,44300.43,150,101.17,17,8.73,29,24,63,84
680,81150.00,39550.07,150,93.81,16,7.79,25,29,79,67
681,81170.00,43261.89,150,108.34,16,8.51,20,46,52,82
682,91060.00,49303.20,150,101.69,18,9.74,11,53,80,56
683,90720.00,50005.21,128,105.56,18,9.88,19,32,65,84
684,86180.00,47389.44,150,102.22,17,9.34,35,15,58,92
685,96090.00,46001.90,150,91.61,19,9.10,18,83,69,30
686,96070.00,36437.19,150,69.21,19,7.23,17,132,44,7
687,76100.00,32809.52,150,86.34,15,6.47,24,55,84,37
688,81120.00,42415.09,150,81.95,16,8.40,27,81,74,18
689,71120.00,37090.83,150,92.67,14,7.32,13,95,75,17
690,86140.00,42613.51,150,98.98,17,8.40,23,53,66,58
691,86100.00,36996.03,150,88.89,17,7.29,18,40,87,55
692,80910.00,31475.48,150,63.01,16,6.25,9,124,60,7
693,76060.00,25045.73,150,74.50,15,4.93,27,39,105,29
694,80990.00,39362.08,150,100.15,16,7.76,12,48,71,69
695,91040.00,44292.60,150,103.61,18,8.73,19,17,73,91
696,81130.00,40594.28,150,95.98,16,8.01,17,84,70,29
697,86130.00,39848.70,150,105.34,17,7.83,22,26,71,81
698,86020.00,48099.73,150,93.72,17,9.52,14,79,65,42
699,91120.00,45832.65,150,99.81,18,9.04,17,34,69,80
700,80900.00,48990.20,150,96.50,16,9.69,15,114,61,10
701,86160.00,43720.15,150,86.45,17,8.64,17,80,58,45
702,86120.00,37445.95,150,87.16,17,7.39,35,50,63,52
703,91130.00,40457.44,150,81.32,18,8.00,53,26,61,60
704,71150.00,37046.19,150,98.25,14,7.28,37,14,62,87
705,70660.00,40350.63,121,90.22,14,7.98,13,118,68,1
706,71080.00,35220.56,150,91.16,14,6.95,22,80,67,31
707,91020.00,48988.10,150,90.03,18,9.71,10,119,65,6
708,71060.00,33832.05,150,88.31,14,6.67,31,26,73,70
709,81080.00,34260.26,150,84.62,16,6.76,49,17,73,61
710,71050.00,37490.53,150,100.02,14,7.38,18,27,70,85
711,81060.00,37672.15,150,89.09,16,7.43,9,94,90,7
712,80830.00,27423.53,146,53.97,16,5.45,42,87,68,3
713,76200.00,35644.85,150,91.47,15,7.02,29,39,78,54
714,91030.00,36401.83,150,79.63,18,7.20,33,71,72,24
715,81060.00,37426.06,150,95.95,16,7.37,9,26,97,68
716,91080.00,45080.30,150,94.80,18,8.90,30,37,67,66
717,86060.00,40601.32,150,97.75,17,8.01,12,34,91,63
718,81130.00,38860.21,150,86.00,16,7.68,26,85,76,13
719,76050.00,40979.69,150,99.70,15,8.08,10,60,75,55
720,81100.00,42366.69,150,101.25,16,8.36,11,17,87,85
721,91160.00,37361.50,150,78.97,18,7.39,19,60,67,54
