generation,best_fitness,mean_fitness,best_ticks,mean_ticks,best_fruits,mean_fruits,deaths_wall,deaths_self,deaths_stall,deaths_timeout
663,97370.00,12283.16,200,63.81,12,1.50,33,4,146,17
664,105260.00,15862.91,200,69.64,13,1.95,35,5,141,19
665,137340.00,23322.53,200,76.23,17,2.87,37,3,130,30
666,129390.00,18204.59,200,60.45,16,2.25,71,4,105,20
667,121070.00,14308.62,179,58.60,15,1.76,55,3,125,17
668,97430.00,15713.16,200,68.72,12,1.93,35,2,137,26
669,137350.00,23357.04,200,70.24,17,2.88,39,17,134,10
670,105300.00,18218.41,200,68.44,13,2.24,54,2,121,23
671,145480.00,20552.24,200,72.69,18,2.52,27,5,143,25
672,129400.00,20304.52,200,70.98,16,2.50,46,2,128,24
673,121390.00,16073.95,200,67.58,15,1.97,45,2,138,15
674,129220.00,15107.89,200,64.27,16,1.85,33,3,149,15
675,105290.00,16118.64,200,70.56,13,1.98,21,6,153,20
676,113240.00,21962.34,200,75.00,14,2.70,22,4,155,19
677,121310.00,16554.84,200,69.82,15,2.03,31,4,147,18
678,113230.00,16699.82,200,68.91,14,2.05,24,3,151,22
679,121380.00,26969.49,200,76.09,15,3.33,36,4,138,22
680,121220.00,24629.44,200,70.83,15,3.04,22,9,159,10
681,121410.00,30281.24,200,91.01,15,3.72,25,5,135,35
682,105330.00,16102.22,200,71.59,13,1.97,21,1,160,18
683,129300.00,18969.22,200,77.67,16,2.33,20,2,157,21
684,137250.00,19699.77,190,66.48,17,2.42,42,11,137,10
685,121410.00,16835.80,200,73.37,15,2.06,23,4,152,21
686,97250.00,11740.32,200,63.15,12,1.44,45,4,141,10
687,105020.00,11502.32,176,61.91,13,1.41,20,13,162,5
688,121120.00,17744.75,198,66.00,15,2.19,42,14,132,12
689,129360.00,15611.57,200,63.81,16,1.92,32,5,148,15
690,121320.00,16181.78,200,68.44,15,1.99,34,12,138,16
691,105290.00,15705.45,200,69.07,13,1.93,33,2,138,27
692,120950.00,18116.88,192,73.65,15,2.23,28,11,143,18
693,121350.00,18881.13,200,71.18,15,2.32,42,12,129,17
694,105320.00,21029.59,200,79.61,13,2.58,24,13,148,15
695,105320.00,16357.74,200,69.17,13,2.00,21,2,157,20
696,113300.00,17723.74,200,72.45,14,2.17,40,2,144,14
697,129260.00,20544.17,194,69.94,16,2.52,46,16,124,14
698,129370.00,15744.56,200,62.05,16,1.94,41,4,141,14
699,121280.00,18598.99,200,69.50,15,2.29,24,11,148,17
700,113340.00,18064.99,200,72.80,14,2.21,25,8,146,21
701,113400.00,22583.03,200,69.53,14,2.78,30,6,144,20
702,137310.00,17168.50,200,64.25,17,2.11,45,3,138,14
703,121430.00,28245.12,200,73.92,15,3.48,36,6,136,22
704,113420.00,19063.43,200,72.02,14,2.34,45,8,125,22
705,97240.00,15399.24,200,70.47,12,1.89,27,2,147,24
706,121380.00,16607.34,200,64.72,15,2.04,41,13,131,15
707,121240.00,17854.25,200,63.69,15,2.20,40,13,131,16
708,129410.00,18762.32,200,63.44,16,2.31,52,13,116,19
709,105300.00,14711.19,200,63.37,13,1.80,53,4,128,15
710,113300.00,12972.04,200,61.12,14,1.59,45,5,141,9
711,105320.00,10528.76,200,58.97,13,1.28,28,6,154,12
712,121240.00,20098.54,200,63.59,15,2.48,60,11,118,11
713,129490.00,18048.15,200,69.35,16,2.21,27,2,150,21
714,121320.00,23686.93,200,70.86,15,2.92,43,9,131,17
715,121380.00,15064.81,200,62.41,15,1.85,38,13,139,10
716,113300.00,18068.31,200,62.95,14,2.23,51,12,126,11
717,113220.00,13365.07,200,60.91,14,1.64,33,8,149,10
718,129420.00,16159.24,200,58.47,16,1.99,39,19,137,5
719,105180.00,10443.72,200,60.70,13,1.27,40,3,146,11
720,121370.00,17783.33,200,75.11,15,2.18,23,13,141,23
721,129350.00,24294.05,200,64.54,16,3.00,36,5,141,18
722,113250.00,17526.08,200,68.39,14,2.15,29,9,141,21
723,121380.00,17409.84,200,71.14,15,2.13,26,7,142,25
724,129070.00,19271.29,185,65.59,16,2.37,32,8,148,12
725,113340.00,12021.51,200,61.80,14,1.47,30,4,152,14
726,113230.00,15777.56,200,66.96,14,1.94,31,5,148,16
727,97430.00,13343.73,200,65.81,12,1.63,31,4,145,20
